"species","delta_crop_t2","delta_crop_t3","delta_crop_t4","delta_pasture_t2","delta_pasture_t3","delta_pasture_t4"
"fraternus",1.08944350918889,-3.18617292069099,-5.25292090046476,3.60458049262103,3.00012375458765,4.30040196570424
"pensylvanicus",-3.48902729623808,-2.66508438559545,-0.921888617356598,2.18457590269255,3.67459075679447,5.03558357769589
"morrisoni",1.01435127137244,0.124813504905702,2.38371547340973,2.77840856665473,2.61173420653764,2.00893223793747
"vandykei",1.24657277361833,2.6374092442062,3.0271866150269,1.59419373895005,1.94444117557432,0.427725760507513
"vosnesenskii",-1.43057816666515,-0.660523636637122,-3.02238311827688,0.886621423354029,1.91423566946051,1.22992983364365
"impatiens",-5.36547281787426,-7.36015518262051,-21.5139050571808,0.357914798385695,0.70707306778009,2.46846923963451
"auricomus",-1.86552215814673,-5.73398039042702,-0.922645831466767,1.61899487626057,1.10482340131463,3.62210238716996
"bimaculatus",-7.80703020102776,-6.46017601151785,-19.5007249960442,0.360251501682938,0.785301833393487,2.93712179658685
"huntii",1.56776188099427,1.07278712908703,-1.15502156179448,3.37040713038688,2.54419746972553,3.34165771050152
"griseocollis",-2.33603002245476,-2.96437234212288,-7.25629339635349,0.808336540833229,1.21563492479461,2.99665030315645
"fervidus",-2.55038211447286,-3.62170249477068,-10.657245162531,1.58049770877749,1.51856905096399,2.36516538713024
"affinis",-7.49221973352942,-8.94534572271442,-22.8155882948228,0.154308596378566,0.273655490736753,1.87334327050461
"appositus",1.17915148695222,1.44053070249957,1.11375107194757,1.97806669170827,1.68854971700357,2.5138784516461
"citrinus",-4.38573915145952,-7.451516249104,-21.0013853627176,0.336112117414113,0.844055344793386,1.44324525819315
"bifarius",1.05245197565521,1.65022777520497,-0.34038077830922,1.94614458265175,1.5487644160627,0.979393162057505
"melanopygus",-3.05556434055784,-0.509743130846356,-5.25909218779327,0.711616505326505,2.50683452109638,1.25728406847383
"nevadensis",1.88866434423164,2.48226526186662,1.97608970476115,2.54128787983483,2.36895518138096,3.14942723330096
"vagans",-4.68741773427193,-5.10984068434889,-15.0201571356283,0.319105706263531,0.745881296033747,2.08239114454232
"insularis",0.888381836064333,-1.33027893605529,0.604915257102579,1.05919995279869,1.79763459345293,1.27481602911974
"rufocinctus",0.619456886605436,-1.58723457339114,-8.63489842772097,2.2059092921436,2.37599140983562,3.72046604033936
"centralis",0.975870132808187,1.95340706154522,1.43100946591063,1.52665211782317,2.81543814395949,1.53697687089238
"perplexus",-3.18446027969543,-5.58554299496812,-23.0325875524868,0.165321523557789,0.556932995161197,1.60841622642967
"ternarius",-3.09757824167046,-7.91678011946794,-12.2527470642872,0.314293329558885,0.996855465943325,1.64606249991537
"terricola",-1.96700977551107,-4.27592691460687,-8.5563803449419,0.307909074214506,0.600182652875895,1.19034785107673
"occidentalis",-0.772031354520797,-2.04430916121319,-0.438326499448298,0.861390550120522,0.93814127254555,1.02107138850974
"flavifrons",0.68693000329806,-0.514675450342131,-4.15243364174013,1.2885140759344,0.902350763901875,1.15985946010985
"borealis",-1.40374788090327,-5.96429466750276,-7.21413521113503,0.421109024780207,2.80009036646274,2.1578233899959
"bohemicus",0.058979276985803,-0.361676816961727,-0.131416972688378,0.925338346866451,0.872848595310368,-1.37703308414865
"mixtus",-2.62117726458941,-0.859499173681217,-7.66440510852353,0.37272993678037,0.296382265795607,1.02814179114774
"sylvicola",0.770778392283024,1.01930059094337,1.96315056705943,0.681881819593498,0.719946444038185,0.405770430394584
"frigidus",0.111129709228658,-1.37866361998063,1.40186850495038,0.19018080140065,0.151336926989009,0.134471955532444
"sicheli",0.969048504464338,1.81675954816476,4.62666931261881,-1.7961639373014,-1.24540467772378,-10.7274562870011
"mesomelas",1.61512653585505,2.33066061881982,6.39002568309119,-2.00114409445528,-1.27391992207471,-11.1055124438018
"mucidus",1.00594214770578,1.4000343226625,5.09160581606136,-1.99842316317815,-1.03220991020715,-11.4963965776302
"pyrenaeus",1.00078163233613,0.83487505562253,5.07285409614648,-1.17144850036642,-1.03206315745364,-11.583769502385
"mendax",0.493531886462828,0.430915316682851,5.24844008602843,-0.610603759605735,-0.774798041259902,-12.2294320215514
"ruderatus",0.484992683705419,1.71128391229244,-0.00936986357851738,-0.323927026699394,-1.94612504650846,-0.528308767121977
"pomorum",-0.715605760020958,0.629357003672039,5.59344780026761,-0.491740784584072,-3.76792304459849,-7.77099310834469
"wurflenii",0.633211653849053,1.14059162819551,3.72217438028955,-0.417961360309437,-0.529533757299102,-7.79735216107039
"humilis",0.572124001773617,-0.880188201598958,-3.64511451790774,-0.217324548142636,0.141259751697655,0.107302059686748
"ruderarius",-0.368605023338628,-0.449553491313447,-0.578975921937046,-0.133413262255948,-0.266905826539462,-2.05154851767174
"vestalis",-0.34925056009142,-2.54816942648205,-11.4084933500899,0.245731251525722,0.666765905863325,6.13167190539586
"barbutellus",0.0257518312533341,0.0490192229867697,-3.32921524325014,0.713916917505929,0.829439661803863,0.501540142970442
"veteranus",-0.962196384262013,-0.187664070949581,1.01990098371534,0.202455907337103,-0.385344375123433,-1.54531096145149
"terrestris",-0.424609640686927,-1.53167742956416,-8.1249545129702,0.157035600766591,0.384727641309603,3.01722970273418
"rupestris",-0.384998457208503,-0.273150532947885,-5.55068823657956,0.0155280532133833,-0.0392234479693691,1.40564950604426
"campestris",-0.196621310582016,-1.8299299646621,-6.63624893124379,0.877949365881522,0.611401261788343,1.98124077879604
"lapidarius",-0.988638202817579,-2.19377243727339,-7.96841101956156,0.161775911806643,0.526796109046675,3.09832651313909
"sylvarum",0.323515987374174,-0.576667524307523,-2.58443761371741,-0.145459962791752,-0.36400322408581,-0.12890780644248
"sylvestris",-0.0382435047282698,-0.782786699807914,-3.56077160517289,0.340050295527255,0.507029271577135,1.00533701495217
"pascuorum",-0.64496541208487,-2.15092437509106,-6.8951918664968,0.354831143828233,0.536350652512637,2.66800785140346
"hortorum",-0.192430307237361,-1.06096607478336,-5.07528074870568,0.473744139288186,0.575563184098456,1.73533600361734
"pratorum",-0.629641298996709,-2.16238944843705,-6.02861656695242,0.381337185943728,0.540343474113188,2.20025281443708
"subterraneus",-0.124928349117235,0.526948454806311,-2.04197438740706,-1.05184608427429,-2.24850631777757,-0.708002298242259
"quadricolor",0.521825897746136,0.704281970540455,-0.0140354751326404,-0.800970855043344,-1.4002041013846,-2.22856163573872
"soroeensis",0.77770090423763,0.654905108370805,1.20976018706616,-0.66556319239205,0.0519798867705547,-2.54601749660236
"monticola",0.529298962933947,0.889204565347647,4.37719566995829,2.05503732417943,1.29420586269193,-4.47264671740185
"lucorum",-0.134648740399553,-1.18111693640529,-4.26898377601326,0.652219386367959,0.946918081680838,1.11095537237584
"muscorum",-0.180276179175499,-0.349036448694419,-0.523354195908557,0.972156236749596,0.980641174091418,-0.66146409809491
"magnus",0.329531348738707,0.184144568837136,2.63692501464454,-0.0718510933307774,0.628279295402175,-2.36482102672118
"cryptarum",-0.81850566375863,0.0235485341067273,-2.5069468058762,0.176698434629621,-0.065885444389964,-0.884949140678831
"hypnorum",-1.68001358289679,-2.13964812288429,-9.15063649485706,0.0703350224102324,-0.108525473286879,3.13134206243214
"bohemicus",0.058979276985803,-0.361676816961727,-0.131416972688378,0.925338346866451,0.872848595310368,-1.37703308414865
"norvegicus",-0.375406434533253,-0.113526980012178,-3.29913078726579,0.149548986287296,-0.491072153284401,-1.16732113664072
"jonellus",0.194518644021025,-0.390227451340003,-1.72453692965725,0.919945122394273,0.884333632538588,-0.101026151229672
"distinguendus",-0.56631031679835,-0.136982100576719,-2.08573496143684,1.25346248923225,0.860888596193065,-0.857781465176087
"sporadicus",-0.0975128209475231,-2.62519412813417,-3.36266017041945,0.00789538519531486,0.0263098353256801,-0.0202067643670912
